"","REO","RESBP","EE","PE","RESAP","CEG"
"1",2.625,3,2.75,4,3.333,3.138
"2",2.625,2.714,3,2.714,3.333,2.793
"3",5,4.429,2.25,5,3,4.276
"4",4,3.857,4.75,4.857,4,4.276
"5",3,3.143,2,4.143,3.333,3.207
"6",2.875,2.143,2.5,4.143,2,2.862
"7",4.375,2.143,2,2.571,4.333,3.069
"8",4.25,2.857,3,4.857,4.333,3.897
"9",2.875,1.429,2.25,4,2.333,2.655
"10",3.75,1.857,4.5,3.714,1.667,3.172
"11",1.875,2.857,2.25,3.286,4.667,2.793
"12",3.125,3.429,4.25,4.429,3,3.655
"13",2.375,2.714,3.25,1.429,1.667,2.276
"14",4.125,2,5,5,2.333,3.759
"15",3.75,2.429,3.75,3.429,2,3.172
"16",3.125,1.571,3.5,3.286,3.333,2.862
"17",2.75,2.429,3,3.429,3.333,2.931
"18",2.75,3.571,2.75,2.714,2,2.862
"19",4,3.714,3.75,4.571,4.667,4.103
"20",4.375,3,3,4.429,4.333,3.862
"21",5,1,2,5,1,3.207
"22",2.5,3.286,4,4.571,2.333,3.379
"23",3.875,3.286,5,4.571,3.667,4.034
"24",4.25,3,3.75,4.429,3,3.793
"25",2.625,2,3.75,2.857,1,2.517
"26",3.75,3.429,4.75,4.571,2.333,3.862
"27",3,3.571,2.5,4.143,2.333,3.276
"28",4.25,2.143,3.5,4.429,2.333,3.483
"29",3.125,3.286,2.75,4.429,3.667,3.483
"30",3.25,2.857,4,4.143,2.333,3.379
"31",3.875,3.429,3.5,4.286,4.333,3.862
"32",3.875,4.143,4.5,4.143,4,4.103
"33",3,2.857,3.25,4,3.667,3.31
"34",3.75,3,2.5,3.714,3,3.31
"35",4,3.714,3.75,4,3.667,3.862
"36",4.125,4.143,3.5,4.857,5,4.31
"37",2.5,2.286,1.75,2.857,4,2.586
"38",3.875,2.286,3.75,3.429,2.333,3.207
"39",3.625,2.857,3.25,3.714,4,3.448
"40",1.75,3.714,2,4.143,3,2.966
"41",2,1.857,4.25,4.286,2.333,2.862
