"REO","RESBP","EE","PE","RESAP","CEG"
2.625,3,2.75,4,3.333,3.138
2.625,2.714,3,2.714,3.333,2.793
5,4.429,2.25,5,3,4.276
4,3.857,4.75,4.857,4,4.276
3,3.143,2,4.143,3.333,3.207
2.875,2.143,2.5,4.143,2,2.862
4.375,2.143,2,2.571,4.333,3.069
4.25,2.857,3,4.857,4.333,3.897
2.875,1.429,2.25,4,2.333,2.655
3.75,1.857,4.5,3.714,1.667,3.172
1.875,2.857,2.25,3.286,4.667,2.793
3.125,3.429,4.25,4.429,3,3.655
2.375,2.714,3.25,1.429,1.667,2.276
4.125,2,5,5,2.333,3.759
3.75,2.429,3.75,3.429,2,3.172
3.125,1.571,3.5,3.286,3.333,2.862
2.75,2.429,3,3.429,3.333,2.931
2.75,3.571,2.75,2.714,2,2.862
4,3.714,3.75,4.571,4.667,4.103
4.375,3,3,4.429,4.333,3.862
5,1,2,5,1,3.207
2.5,3.286,4,4.571,2.333,3.379
3.875,3.286,5,4.571,3.667,4.034
4.25,3,3.75,4.429,3,3.793
2.625,2,3.75,2.857,1,2.517
3.75,3.429,4.75,4.571,2.333,3.862
3,3.571,2.5,4.143,2.333,3.276
4.25,2.143,3.5,4.429,2.333,3.483
3.125,3.286,2.75,4.429,3.667,3.483
3.25,2.857,4,4.143,2.333,3.379
3.875,3.429,3.5,4.286,4.333,3.862
3.875,4.143,4.5,4.143,4,4.103
3,2.857,3.25,4,3.667,3.31
3.75,3,2.5,3.714,3,3.31
4,3.714,3.75,4,3.667,3.862
4.125,4.143,3.5,4.857,5,4.31
2.5,2.286,1.75,2.857,4,2.586
3.875,2.286,3.75,3.429,2.333,3.207
3.625,2.857,3.25,3.714,4,3.448
1.75,3.714,2,4.143,3,2.966
2,1.857,4.25,4.286,2.333,2.862
3.375,2.571,3.75,4,3.667,3.414
3.75,3,4,4,3.667,3.655
1.5,1.571,2,3.429,1.667,2.069
1.625,4,3,3,3.333,2.897
5,3,1.25,3.857,2.333,3.448
3.625,3.429,4,3.714,3.333,3.621
4.5,3.857,1,5,4.333,3.966
4.25,3,3.75,4.286,3.333,3.793
3.625,3.429,3.75,4,3.667,3.69
4.5,2.857,1.75,3.857,3,3.414
4.25,1.714,2.25,2.571,1.667,2.69
5,4,2.25,4.857,5,4.345
2.625,2.143,1.5,4.429,2.333,2.759
3.25,3.571,3,4.143,3.333,3.517
4.25,1.857,2,3.143,1.667,2.828
3.75,4.429,1,5,4.667,3.931
2.75,3.286,3.25,3.714,3.667,3.276
2,1.571,4,3.286,2.333,2.517
3.25,1.714,4.5,5,2.667,3.414
3.375,4.143,2.75,4.714,5,3.966
4.875,3.714,2.25,4.143,3.667,3.931
3.875,3.571,3.75,3.857,3.667,3.759
2.75,3.143,5,3.286,4.333,3.448
4.125,2.857,4.25,4,3.667,3.759
2.75,1.714,2.75,2.286,3.333,2.448
3.5,3,3.75,3.857,3.667,3.517
4.125,1.857,5,4.429,2.667,3.621
3.25,3.714,2.5,4.143,4,3.552
3,3,3,3,3,3
2.75,3,1.5,4.571,4.333,3.241
3.75,4,4.5,3.714,3.667,3.897
4.5,3.429,5,5,3,4.276
4.625,2.714,4,5,4,4.103
1.875,2.857,2.5,3.714,4,2.862
1.125,1,1.5,2.143,1.667,1.448
4.375,3.571,4,5,4,4.241
4,2.714,5,4.571,3.667,3.931
3.625,2.714,4.5,4.143,5,3.793
4.75,3.571,3.75,4.857,3.667,4.241
3.375,1.857,2.5,3.714,3.333,2.966
4.5,1.714,3.5,5,4,3.759
4.125,4.143,3.75,4.429,2.667,4
3.5,3.143,2,3,3.333,3.069
4.625,4.714,4.5,5,4,4.655
4,3.857,4,3.714,4.333,3.931
4.25,4.429,2.5,3.714,3.667,3.862
4.25,4.571,5,4.571,5,4.586
4,4.143,4.5,4.857,3,4.207
4.375,1.714,3.25,4.571,2.667,3.448
5,4.286,4,4.857,3.333,4.483
2.875,3.714,4.75,4.286,4,3.793
3.125,1.714,1.5,3.714,4,2.793
3.5,1.714,3.5,4.714,2.333,3.241
4.125,2.571,4.75,4.857,4.333,4.034
2.375,2.714,1.25,3.143,3.333,2.586
2.125,2.286,4.25,3.286,2,2.724
1.625,3.286,1,3.286,2.667,2.448
3.875,2.571,3.25,4.143,2.667,3.414
2.5,3.143,4.5,4.714,2.667,3.483
3.875,3.714,3,4.143,4.333,3.828
3.5,3.429,3.25,3.143,3.333,3.345
1.5,3.143,2,3.571,2.333,2.552
4.25,1.714,4.25,4.857,2,3.552
4,2.857,3.5,3.857,3.333,3.552
3.25,3.286,3,3.429,4.667,3.414
2.625,3.286,2.5,4,4,3.241
4,4.143,2.25,3.714,4.667,3.793
3.875,3,5,4.286,2,3.724
3.375,3.571,3.25,3,3,3.276
4.25,3.714,3,3.429,2.667,3.586
2.625,3.429,2.5,4,4.667,3.345
3.75,2.857,3.25,4.571,3.333,3.621
3.75,1.857,3,4.857,4,3.483
4,3.714,2.5,4.714,4.667,3.966
4.25,4.429,4,5,4.667,4.483
3.875,3.857,2.75,3.571,3.333,3.586
1.875,2.857,3,5,1.333,2.966
3.375,2.143,4.25,3.571,3.667,3.276
4.75,2.571,2,4.429,3,3.586
2.125,2.143,2,3.143,2.667,2.414
3.75,3.143,3,4.714,4.333,3.793
2.875,2.571,1.25,3.714,5,3
4.25,1.286,3.5,4.286,1.333,3.138
3.875,4.286,2.5,4,4.333,3.862
2.5,1,2,4.429,2.333,2.517
3.75,3.857,3.5,4,3.333,3.759
3.125,3,3.75,3.714,3.333,3.345
