"","falta_de_atencao","impulsividade","planejamento"
"1",2.71428571428571,2.25,3.6
"2",3.28571428571429,2.5,2.5
"3",4.85714285714286,4.33333333333333,4.1
"4",2.85714285714286,2.58333333333333,2.8
"5",3.85714285714286,2.83333333333333,3.2
"6",2.71428571428571,2,4.1
"7",3.28571428571429,3,2.7
"8",3.71428571428571,4,3.8
"9",3.57142857142857,3.83333333333333,2.6
"10",4.85714285714286,3.33333333333333,4.2
"11",4.28571428571429,2.33333333333333,3.2
"12",3.14285714285714,2.16666666666667,3.9
"13",2.14285714285714,2.33333333333333,2.3
"14",4.85714285714286,4.16666666666667,2.9
"15",4,2.58333333333333,3.3
"16",5,2.41666666666667,2.8
"17",2.28571428571429,3,3.5
"18",2.57142857142857,1.83333333333333,3.6
"19",2.71428571428571,3.5,4
"20",2.28571428571429,2.33333333333333,3.8
"21",5,4.16666666666667,1.5
"22",3.42857142857143,2.08333333333333,2.8
"23",2.71428571428571,2.66666666666667,4.2
"24",4.42857142857143,4,2.5
"25",4.42857142857143,3.83333333333333,3.7
"26",5,2.16666666666667,3
"27",4,3.25,3.5
"28",4.57142857142857,4.16666666666667,4.1
"29",4.57142857142857,2.91666666666667,3.1
"30",3.28571428571429,3,2.7
"31",2.14285714285714,2.58333333333333,3.8
"32",2.57142857142857,2.58333333333333,3.9
"33",3.28571428571429,2.91666666666667,3.5
"34",3,2.25,3.3
"35",2,2.41666666666667,3.4
"36",1.71428571428571,1.83333333333333,2.8
"37",4.71428571428571,3.58333333333333,2.9
"38",2.71428571428571,3,3.6
"39",4.85714285714286,2.58333333333333,3.5
"40",2.71428571428571,2.58333333333333,2.8
"41",3.57142857142857,3.08333333333333,4.3
"42",4.14285714285714,3.66666666666667,3.1
"43",4,2.33333333333333,4.1
"44",4.42857142857143,2.41666666666667,3.4
"45",1.14285714285714,2.41666666666667,3.5
"46",4,2.41666666666667,3.6
"47",3.28571428571429,2.41666666666667,3.6
"48",5,3.16666666666667,3.6
"49",3.14285714285714,1.83333333333333,3.2
"50",2.71428571428571,2.83333333333333,3
"51",2.85714285714286,2.58333333333333,3.1
"52",4.71428571428571,2.58333333333333,2.4
"53",3.42857142857143,2.75,3.9
"54",4.71428571428571,2.83333333333333,2.8
"55",1.57142857142857,2.25,3.6
"56",4.85714285714286,3.91666666666667,3.5
"57",4,3.75,3.6
"58",2.42857142857143,2.41666666666667,3.3
"59",4.57142857142857,3.08333333333333,2.9
"60",4.28571428571429,2.08333333333333,3.7
"61",4,2.75,4
"62",3.42857142857143,2.33333333333333,4.8
"63",3.42857142857143,4.33333333333333,4.8
"64",4.42857142857143,2.41666666666667,3.3
"65",3.14285714285714,2.66666666666667,3.8
"66",1.42857142857143,1.83333333333333,4.7
"67",3.14285714285714,3.25,3.4
"68",1.71428571428571,2.75,2.4
"69",3.28571428571429,1.75,3.4
"70",3.28571428571429,2.91666666666667,2.9
"71",3,2.41666666666667,4.8
"72",2,2.08333333333333,3.8
"73",3.57142857142857,2.16666666666667,5
"74",3,2.08333333333333,4.7
"75",2.71428571428571,2.66666666666667,2.9
"76",4.42857142857143,2.83333333333333,2
"77",1.85714285714286,2.25,3.7
"78",3.14285714285714,3.16666666666667,3.5
"79",1.71428571428571,1.41666666666667,3
"80",3,2.91666666666667,4.1
"81",2.42857142857143,2.16666666666667,3.2
"82",4.14285714285714,3.5,2
"83",2.28571428571429,2.41666666666667,4.7
"84",4.14285714285714,3.08333333333333,2.6
"85",2.14285714285714,3.5,4.4
"86",1.85714285714286,2.58333333333333,3.8
"87",2.42857142857143,2.5,4.3
"88",1.14285714285714,1.58333333333333,4.9
"89",3.28571428571429,2.66666666666667,4.7
"90",2,3.08333333333333,2.4
"91",3.28571428571429,2.91666666666667,4.1
"92",2.14285714285714,1.5,4.7
"93",3.71428571428571,2.25,2.9
"94",4.57142857142857,3.58333333333333,2.3
"95",2.42857142857143,2.5,3.9
"96",4.71428571428571,3.16666666666667,2.7
"97",2.14285714285714,2.33333333333333,4.1
"98",4.42857142857143,2.75,2.3
"99",3.71428571428571,1.58333333333333,2.4
"100",2.42857142857143,2.08333333333333,2.6
"101",3.14285714285714,2.66666666666667,3.4
"102",3.42857142857143,3,3.7
"103",2.42857142857143,1.75,3
"104",4.42857142857143,1.66666666666667,3.1
"105",2.42857142857143,2.16666666666667,3.5
"106",2.14285714285714,2.33333333333333,3.6
"107",2.71428571428571,3.16666666666667,4.2
"108",3,2.66666666666667,3.3
"109",2.14285714285714,3.16666666666667,3.5
"110",2.57142857142857,2.08333333333333,2.9
"111",3.14285714285714,1.91666666666667,3.1
"112",3.14285714285714,2.33333333333333,3.5
"113",4.85714285714286,2.66666666666667,3.6
"114",4.14285714285714,2.25,3.1
"115",1.57142857142857,2,4.6
"116",1,2.08333333333333,4.5
"117",3.28571428571429,2.58333333333333,4.1
"118",5,2.66666666666667,2
"119",4.28571428571429,2.5,3.6
"120",3.42857142857143,2.58333333333333,3.3
"121",4.42857142857143,2.41666666666667,2.5
"122",3.28571428571429,2,4.1
"123",4.42857142857143,2.25,3
"124",3,2.83333333333333,4
"125",4.14285714285714,3.08333333333333,3.6
"126",4,1.91666666666667,3.8
"127",1.85714285714286,2.5,4.4
"128",2.85714285714286,2.66666666666667,2.9
"129",2.42857142857143,3.58333333333333,4.1
"130",2.57142857142857,2.5,3.2
"131",2.28571428571429,3,3.4
"132",4,3.16666666666667,3.6
"133",2.28571428571429,3,4.4
"134",4.57142857142857,3.33333333333333,3.1
"135",2.42857142857143,2.66666666666667,3.7
"136",3.71428571428571,3.41666666666667,2.9
"137",3.85714285714286,4.08333333333333,4.5
"138",4.57142857142857,2.58333333333333,3.6
"139",2.28571428571429,3.41666666666667,4.1
"140",2.85714285714286,2.41666666666667,3.8
"141",3.57142857142857,1.66666666666667,3.6
"142",1.28571428571429,1.58333333333333,3.3
"143",4.14285714285714,2.91666666666667,4.4
"144",4.57142857142857,2.5,2.8
"145",2.71428571428571,2,3.8
"146",2.42857142857143,2.66666666666667,4
"147",3,3,3
"148",3.42857142857143,2.33333333333333,3.4
"149",3.14285714285714,3.91666666666667,3.5
"150",4.71428571428571,2.41666666666667,3.9
"151",3.14285714285714,2.66666666666667,4.5
"152",4.28571428571429,2.25,2.9
"153",3.85714285714286,3.33333333333333,2.7
"154",4.14285714285714,2,3.9
"155",3.57142857142857,2.16666666666667,4
"156",2,2.16666666666667,2.6
"157",1.71428571428571,2.5,3.9
"158",1,1.75,4.3
"159",5,4.58333333333333,3.8
"160",3.85714285714286,3.08333333333333,4.1
"161",3.85714285714286,4,3
"162",2.57142857142857,1.75,3.7
"163",4.14285714285714,2.08333333333333,2.3
"164",2.28571428571429,2.33333333333333,2.5
"165",3.14285714285714,2.33333333333333,3.5
"166",2.14285714285714,4.91666666666667,2.9
"167",5,4.5,2
"168",5,4.66666666666667,1.8
"169",3.14285714285714,1.83333333333333,3.1
"170",4.85714285714286,2.66666666666667,3.1
"171",4,2.25,3.8
"172",4.28571428571429,3,4.2
"173",3.71428571428571,2.41666666666667,3.5
"174",3.85714285714286,2.91666666666667,3
"175",3,2,3.7
"176",3.71428571428571,2.58333333333333,3.8
"177",2.71428571428571,1.83333333333333,4.4
"178",3.85714285714286,2.91666666666667,3.4
"179",3.57142857142857,3,3.4
"180",3.14285714285714,3.41666666666667,3.7
"181",3.85714285714286,2,3.7
"182",2,3.66666666666667,3.8
"183",2.71428571428571,2.08333333333333,4.1
"184",2.14285714285714,3.66666666666667,3.8
"185",4.28571428571429,2.41666666666667,3.6
"186",3.57142857142857,3.41666666666667,3.5
"187",1.71428571428571,2,4.3
"188",3.57142857142857,3.08333333333333,2.7
"189",3.42857142857143,3.25,3.2
"190",3.28571428571429,3.25,3.3
"191",2.42857142857143,2.91666666666667,4.2
"192",4.28571428571429,2.33333333333333,2.7
"193",2.28571428571429,2.83333333333333,5
"194",4.42857142857143,4.58333333333333,4.8
"195",1.85714285714286,2.33333333333333,4.5
"196",4.42857142857143,3.41666666666667,3.6
"197",3.85714285714286,3.41666666666667,3.4
"198",3.57142857142857,1.83333333333333,3.7
"199",2.57142857142857,1.5,4.6
"200",4,2.91666666666667,2.9
"201",2.85714285714286,2.08333333333333,2.8
"202",3.71428571428571,2.16666666666667,4
"203",4.28571428571429,3.25,4.3
"204",3.71428571428571,2.83333333333333,3.3
"205",5,4.5,2.7
"206",3.57142857142857,2.5,2
"207",2.42857142857143,1.91666666666667,3.7
"208",2.42857142857143,2.66666666666667,3.2
"209",2.14285714285714,1.33333333333333,3.5
"210",3.85714285714286,2.33333333333333,2.8
"211",3.71428571428571,2.58333333333333,3.4
"212",3.28571428571429,3.08333333333333,3.1
"213",3.28571428571429,2.58333333333333,4
"214",4.57142857142857,3,3.1
"215",4,3.41666666666667,2.1
"216",4.71428571428571,3.5,2.7
"217",3.28571428571429,2.75,4.2
"218",2.85714285714286,2.16666666666667,4
"219",2,2.5,4.1
"220",3.14285714285714,2.75,2.7
"221",5,2.66666666666667,3.9
"222",4.28571428571429,2.66666666666667,4.2
"223",2.42857142857143,1.75,4.3
"224",2.28571428571429,2.75,4.3
"225",2.28571428571429,2.58333333333333,3.1
"226",2.57142857142857,2.5,3.4
"227",4,1.83333333333333,3.5
"228",4,2.83333333333333,3.5
"229",2.57142857142857,2.33333333333333,4.4
"230",4.28571428571429,3.16666666666667,3.4
"231",2.42857142857143,3.16666666666667,3.4
"232",2.42857142857143,2.25,4.5
"233",3.85714285714286,3.16666666666667,3.9
"234",4,3.91666666666667,3.4
"235",2.71428571428571,2.66666666666667,3.1
"236",4.14285714285714,2.83333333333333,3.5
"237",2.42857142857143,2.91666666666667,4.9
"238",2.71428571428571,3.08333333333333,3.6
"239",3.71428571428571,2,2.6
"240",3.57142857142857,3.08333333333333,2.7
"241",2.42857142857143,2.66666666666667,4.5
"242",2.85714285714286,2.25,4.2
"243",4.28571428571429,2.41666666666667,2.2
"244",1.85714285714286,1.91666666666667,4.7
"245",4.28571428571429,2.16666666666667,2.8
"246",1.28571428571429,3.08333333333333,2.7
"247",3.42857142857143,2.5,3.5
"248",2,2.41666666666667,3.8
"249",4.71428571428571,3.5,2.4
"250",4.28571428571429,1.91666666666667,2.8
"251",2.57142857142857,2,3.5
"252",3,3.25,3.6
"253",4,2.41666666666667,3.9
"254",2,2.5,3.7
"255",2.85714285714286,2.08333333333333,3.8
"256",3,2.75,3.1
"257",1.71428571428571,1.75,4.3
"258",3,3.91666666666667,2.7
"259",2.28571428571429,3.25,3.6
"260",2.57142857142857,2.08333333333333,4.1
"261",5,3.91666666666667,3.1
"262",3.85714285714286,2.33333333333333,2.1
"263",3.85714285714286,3,3.3
"264",3.14285714285714,2.75,2.6
"265",4.28571428571429,3.58333333333333,3
"266",2.42857142857143,3.08333333333333,3.4
"267",4.42857142857143,2.5,2.4
"268",3.85714285714286,2.16666666666667,4.2
"269",4,3.33333333333333,4.2
"270",2.14285714285714,2,3.7
"271",3,2.83333333333333,3.5
"272",2.14285714285714,2.91666666666667,4.4
"273",3.85714285714286,4,3.3
"274",2.14285714285714,1.91666666666667,3.9
"275",4.14285714285714,2.91666666666667,3.3
"276",3.42857142857143,2.5,3.4
"277",3.14285714285714,2.16666666666667,3.5
"278",3.85714285714286,1.91666666666667,3.5
"279",2.71428571428571,2.75,4.6
"280",2.85714285714286,2.25,3.8
"281",4.14285714285714,2.75,2.7
"282",3.71428571428571,1.91666666666667,4.2
"283",4.14285714285714,4.08333333333333,3.5
"284",4.57142857142857,3.41666666666667,2.9
"285",3.14285714285714,1.66666666666667,3.1
"286",3.85714285714286,1.91666666666667,2.9
"287",1.85714285714286,2.25,3.9
"288",1.71428571428571,3.16666666666667,4.2
"289",1.85714285714286,1.75,4.2
